Timestamp,level,message
2005-12-04 04:47:44,error,mod_jk child workerEnv in error state 6
2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6
2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6
2005-12-04 04:51:18,error,mod_jk child workerEnv in error state 6
2005-12-04 04:51:55,error,mod_jk child workerEnv in error state 6
2005-12-04 04:52:15,error,mod_jk child workerEnv in error state 6
2005-12-04 04:52:15,error,mod_jk child workerEnv in error state 7
2005-12-04 04:52:15,error,mod_jk child workerEnv in error state 7
2005-12-04 04:52:52,error,mod_jk child workerEnv in error state 7
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 6
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 7
2005-12-04 04:53:16,error,mod_jk child workerEnv in error state 6
2005-12-04 04:53:54,error,mod_jk child workerEnv in error state 7
2005-12-04 04:54:18,error,mod_jk child workerEnv in error state 6
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 6
2005-12-04 04:54:18,error,mod_jk child workerEnv in error state 7
2005-12-04 04:54:18,error,mod_jk child workerEnv in error state 7
2005-12-04 04:54:20,error,mod_jk child workerEnv in error state 6
2005-12-04 04:56:59,error,mod_jk child workerEnv in error state 6
2005-12-04 04:57:00,error,mod_jk child workerEnv in error state 6
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 6
2005-12-04 04:57:24,error,mod_jk child workerEnv in error state 6
2005-12-04 04:58:18,error,mod_jk child workerEnv in error state 6
2005-12-04 04:58:58,error,mod_jk child workerEnv in error state 6
2005-12-04 04:59:38,error,mod_jk child workerEnv in error state 6
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 6
2005-12-04 05:00:09,error,mod_jk child workerEnv in error state 6
2005-12-04 05:00:15,error,mod_jk child workerEnv in error state 6
2025-10-09 17:23:08,error,mod_jk child workerEnv in error state 6
2005-12-04 05:04:04,error,mod_jk child workerEnv in error state 7
2005-12-04 05:04:04,error,mod_jk child workerEnv in error state 6
2005-12-04 05:04:04,error,mod_jk child workerEnv in error state 7
